Step,Molecular_DeepEnsemble_Ered_vbll_20250511_182942 - best_value,Molecular_DeepEnsemble_Ered_vbll_20250511_021411 - best_value,Molecular_DeepEnsemble_Ered_vbll_20250510_231726 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250508_155447 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250507_210912 - best_value,Molecular_VBLL_Ered_dense_precision_multirank_20250507_014507 - best_value
0,2.04269603,1.7316041,2.34472703,1.63933499,1.77609245,1.86569498
1,2.04269603,1.7316041,2.34472703,1.63933499,1.77609245,1.86569498
2,1.95393701,1.7316041,2.34472703,1.63933499,1.77609245,1.83562793
3,1.95393701,1.7316041,2.34472703,1.63933499,1.77609245,1.83562793
4,1.95393701,1.7316041,1.73761751,1.63933499,1.77609245,1.64455931
5,1.64039618,1.7316041,1.73761751,1.63933499,1.76376632,1.64455931
6,1.64039618,1.7316041,1.73761751,1.63933499,1.76376632,1.64455931
7,1.64039618,1.7316041,1.73761751,1.63933499,1.7316041,1.64455931
8,1.64039618,1.7316041,1.73761751,1.63933499,1.6807214,1.64455931
9,1.64039618,1.7316041,1.73761751,1.63933499,1.6807214,1.64039618
10,1.64039618,1.7316041,1.73761751,1.63933499,1.62464159,1.64039618
11,1.64039618,1.7316041,1.73761751,1.63933499,1.62464159,1.64039618
12,1.64039618,1.7316041,1.73761751,1.63933499,1.62464159,1.64039618
13,1.64039618,1.7316041,1.73761751,1.63933499,1.62464159,1.64039618
14,1.64039618,1.7316041,1.73761751,1.63933499,1.62464159,1.64039618
15,1.64039618,1.67829971,1.73761751,1.63933499,1.62464159,1.64039618
16,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.64039618
17,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.64039618
18,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.64039618
19,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.64039618
20,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.64039618
21,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.64039618
22,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.64039618
23,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.63933499
24,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.63933499
25,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.63933499
26,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.63933499
27,1.64039618,1.62464159,1.73397137,1.63933499,1.54135178,1.63933499
28,1.64039618,1.62464159,1.73397137,1.63933499,1.54135178,1.63933499
29,1.64039618,1.62464159,1.73397137,1.62464159,1.54135178,1.63933499
30,1.64039618,1.62464159,1.73397137,1.62464159,1.54135178,1.63933499
31,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.63933499
32,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.63933499
33,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.63933499
34,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.63933499
35,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.63933499
36,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.63933499
37,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.63933499
38,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
39,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
40,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
41,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
42,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
43,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
44,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
45,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
46,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
47,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
48,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
49,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
50,1.64039618,1.62464159,,1.54135178,1.54135178,1.61558066
51,1.64039618,1.62464159,,1.54135178,1.54135178,1.61558066
52,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
53,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
54,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
55,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
56,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
57,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
58,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
59,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
60,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
61,1.61558066,1.62464159,,1.54135178,1.54135178,1.61558066
62,1.61558066,1.62464159,,1.54135178,1.54135178,1.54135178
63,1.61558066,1.62464159,,1.54135178,1.54135178,1.54135178
64,1.61558066,1.62464159,,1.54135178,1.54135178,1.54135178
65,1.61558066,1.62464159,,1.54135178,1.54135178,1.54135178
66,1.61558066,1.62464159,,1.54135178,1.54135178,1.54135178
67,1.61558066,1.62464159,,1.54135178,1.54135178,1.54135178
68,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
69,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
70,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
71,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
72,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
73,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
74,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
75,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
76,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
77,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
78,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
79,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
80,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
81,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
82,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
83,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
84,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
85,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
86,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
87,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
88,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
89,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
90,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
91,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
92,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
93,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
94,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
95,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
96,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
97,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
98,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
99,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
100,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
101,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
102,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
103,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
104,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
105,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
106,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
107,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
108,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
109,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
110,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
111,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
112,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
113,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
114,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
115,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
116,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
117,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
118,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
119,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
120,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
121,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
122,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
123,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
124,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
125,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
126,1.54135178,1.62464159,,1.54135178,1.54135178,1.54135178
127,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
128,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
129,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
130,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
131,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
132,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
133,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
134,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
135,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
136,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
137,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
138,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
139,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
140,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
141,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
142,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
143,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
144,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
145,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
146,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
147,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
148,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
149,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
150,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
151,1.54135178,1.61558066,,1.54135178,1.54135178,1.54135178
152,1.54135178,1.61558066,,1.54135178,,1.54135178
153,1.54135178,1.61558066,,1.54135178,,1.54135178
154,1.54135178,1.61558066,,1.54135178,,1.54135178
155,1.54135178,1.61558066,,1.54135178,,1.54135178
156,1.54135178,1.61558066,,1.54135178,,1.54135178
157,1.54135178,1.61558066,,1.54135178,,1.54135178
158,1.54135178,1.61558066,,1.54135178,,1.54135178
159,1.54135178,1.61558066,,1.54135178,,1.54135178
160,1.54135178,1.61558066,,1.54135178,,1.54135178
161,1.54135178,1.61558066,,1.54135178,,1.54135178
162,1.54135178,1.61558066,,1.54135178,,1.54135178
163,1.54135178,1.61558066,,1.54135178,,1.54135178
164,1.54135178,1.54135178,,1.54135178,,1.54135178
165,1.54135178,1.54135178,,1.54135178,,1.54135178
166,1.54135178,1.54135178,,,,1.54135178
167,1.54135178,1.54135178,,,,1.54135178
168,1.54135178,1.54135178,,,,1.54135178
169,1.54135178,1.54135178,,,,1.54135178
170,1.54135178,1.54135178,,,,1.54135178
171,1.54135178,1.54135178,,,,1.54135178
172,1.54135178,1.54135178,,,,1.54135178
173,1.54135178,1.54135178,,,,1.54135178
174,1.54135178,1.54135178,,,,1.54135178
175,1.54135178,1.54135178,,,,1.54135178
176,1.54135178,1.54135178,,,,1.54135178
177,1.54135178,1.54135178,,,,1.54135178
178,1.54135178,1.54135178,,,,1.54135178
179,1.54135178,1.54135178,,,,1.54135178
180,1.54135178,1.54135178,,,,1.54135178
181,1.54135178,1.54135178,,,,1.54135178
182,1.54135178,1.54135178,,,,1.54135178
183,1.54135178,1.54135178,,,,1.54135178
184,1.54135178,1.54135178,,,,1.54135178
185,1.54135178,1.54135178,,,,1.54135178
186,1.54135178,1.54135178,,,,1.54135178
187,1.54135178,1.54135178,,,,1.54135178
188,1.54135178,1.54135178,,,,1.54135178
189,1.54135178,1.54135178,,,,1.54135178
190,1.54135178,1.54135178,,,,1.54135178
191,1.54135178,1.54135178,,,,1.54135178
192,1.54135178,1.54135178,,,,1.54135178
193,1.54135178,1.54135178,,,,1.54135178
194,1.54135178,1.54135178,,,,1.54135178
195,1.54135178,1.54135178,,,,1.54135178
196,1.54135178,1.54135178,,,,1.54135178
197,1.54135178,1.54135178,,,,1.54135178
198,1.54135178,1.54135178,,,,1.54135178
199,1.54135178,1.54135178,,,,1.54135178
200,1.54135178,1.54135178,,,,1.54135178
201,1.54135178,1.54135178,,,,1.54135178
202,1.54135178,1.54135178,,,,1.54135178
203,1.54135178,1.54135178,,,,1.54135178
204,1.54135178,1.54135178,,,,1.54135178
205,1.54135178,1.54135178,,,,1.54135178
206,1.54135178,1.54135178,,,,1.54135178
207,1.54135178,1.54135178,,,,1.54135178
208,1.54135178,1.54135178,,,,1.54135178
209,1.54135178,1.54135178,,,,1.54135178
210,1.54135178,1.54135178,,,,1.54135178
211,1.54135178,1.54135178,,,,1.54135178
212,1.54135178,1.54135178,,,,1.54135178
213,1.54135178,1.54135178,,,,1.54135178
214,1.54135178,1.54135178,,,,1.54135178
215,1.54135178,1.54135178,,,,1.54135178
216,1.54135178,1.54135178,,,,1.54135178
217,1.54135178,1.54135178,,,,1.54135178
218,1.54135178,1.54135178,,,,1.54135178
219,1.54135178,1.54135178,,,,1.54135178